clip_id,type,method,speaker_similarity,rms_db,crest_factor_db,spectral_centroid,spectral_rolloff,zero_crossing_rate
maramures_itw_-Whhys-_3qE_full__000_000028.600,Real,Real,1.0,-28.529753637640518,18.786485153638928,900.7601491571804,1756.5894568690096,0.04833828374600639
maramures_itw_-Whhys-_3qE_full__000_000028.600,Fake,OpenVoice,0.8724059462547302,-31.343509629924526,19.552338232120732,1293.985121783893,2493.585263578275,0.0911089132388179
maramures_itw_-Whhys-_3qE_full__001_000116.200,Real,Real,1.0,-26.90101074908171,20.03297275264456,968.8310297932277,1991.8589369158879,0.047874379380841124
maramures_itw_-Whhys-_3qE_full__001_000116.200,Fake,Seed-VC,0.8723211288452148,-17.42890583666209,16.880012652447974,1949.6132860029927,3864.1798708920187,0.1256097784624413
maramures_itw_-Whhys-_3qE_full__002_000058.400,Real,Real,1.0,-25.903883788567732,20.961763383738024,1318.1228727071423,2843.191964285714,0.07782937393707483
maramures_itw_-Whhys-_3qE_full__002_000058.400,Fake,CosyVoice,0.7664434313774109,-15.827823523006481,16.654160842881694,2240.512699185913,4285.72563559322,0.16220372086864407
maramures_itw_-Whhys-_3qE_full__003_000068.800,Real,Real,1.0,-34.68467206545216,20.68722837626291,1239.3628867369953,2602.336261980831,0.07598155451277955
maramures_itw_-Whhys-_3qE_full__003_000068.800,Fake,OpenVoice,0.861440896987915,-34.1803117049152,20.287214493734478,1353.0507453535542,2549.420926517572,0.11483501397763578
maramures_itw_-Whhys-_3qE_full__004_000268.200,Real,Real,1.0,-30.54201844177956,22.670123407420846,817.5355911142187,1376.2943786982248,0.04719859467455621
maramures_itw_-Whhys-_3qE_full__004_000268.200,Fake,Seed-VC,0.7191110849380493,-39.40804829871911,20.930927377829562,1764.5660809829546,3555.981878698225,0.12677399223372782
maramures_itw_-Whhys-_3qE_full__005_000003.400,Real,Real,1.0,-29.365044596090932,16.56653121379154,1189.990177420497,2611.150568181818,0.06597622958096591
maramures_itw_-Whhys-_3qE_full__005_000003.400,Fake,CosyVoice,0.8984075784683228,-20.035295081641735,16.05174045050425,1190.1916122606883,2097.4343039772725,0.10169011896306818
maramures_itw_5LliDRFbBOk_full__000_000017.600,Real,Real,1.0,-27.221120904329148,21.4523641418318,1775.5140783703341,3345.1727236421725,0.15184298871805113
maramures_itw_5LliDRFbBOk_full__000_000017.600,Fake,OpenVoice,0.8840609192848206,-26.12169897678221,19.87134298666551,1425.0060537275822,3011.281948881789,0.09385140025958466
maramures_itw_5LliDRFbBOk_full__001_000230.200,Real,Real,1.0,-28.93905946146317,22.254351750829198,1767.217784589382,3520.266736401674,0.14234522097280336
maramures_itw_5LliDRFbBOk_full__001_000230.200,Fake,Seed-VC,0.8283708095550537,-26.32917751331105,18.131021841944637,917.5716797013883,1924.751569037657,0.05275889121338912
maramures_itw_5LliDRFbBOk_full__002_000153.400,Real,Real,1.0,-28.454290104233415,19.208397489459735,1651.1649721938415,3252.730918141593,0.1240147953539823
maramures_itw_5LliDRFbBOk_full__002_000153.400,Fake,CosyVoice,0.9156784415245056,-14.133361304328737,13.94394781438802,1420.4452757077158,2867.0498348017622,0.0955396475770925
maramures_itw_5LliDRFbBOk_full__003_000120.000,Real,Real,1.0,-30.151128594704065,19.97658376756814,1668.885324859198,3319.8132987220447,0.12848972893370608
maramures_itw_5LliDRFbBOk_full__003_000120.000,Fake,OpenVoice,0.8756846785545349,-26.573666373284542,18.73164602548234,1180.6612524141133,2399.4608626198083,0.06488992611821086
maramures_itw_5LliDRFbBOk_full__004_000172.000,Real,Real,1.0,-28.071182367720432,19.24973444540423,1642.367507067665,3242.904589371981,0.1340886360205314
maramures_itw_5LliDRFbBOk_full__004_000172.000,Fake,Seed-VC,0.9082982540130615,-29.950166686857564,15.464485519982475,1149.9969387336612,2208.4842995169083,0.06612554725241546
maramures_itw_5LliDRFbBOk_full__005_000110.200,Real,Real,1.0,-27.96275756028654,19.91992188138575,1645.3532746723672,3275.249524714829,0.1304175083174905
maramures_itw_5LliDRFbBOk_full__005_000110.200,Fake,CosyVoice,0.907422661781311,-18.1538725761898,16.217624686038214,1072.1320090414033,1866.4772727272727,0.08220880681818182
maramures_itw_5LliDRFbBOk_full__006_000080.200,Real,Real,1.0,-28.692100092951662,21.26960298218159,1627.7376042087733,3232.03125,0.13355758101851853
maramures_itw_5LliDRFbBOk_full__006_000080.200,Fake,OpenVoice,0.8462592363357544,-28.407069568484893,15.663660111380588,1730.9107619950473,3799.652777777778,0.09788411458333333
maramures_itw_5LliDRFbBOk_full__007_000055.000,Real,Real,1.0,-26.811290896881943,20.507808197871462,1665.7171598488728,3209.340055910543,0.13028841353833867
maramures_itw_5LliDRFbBOk_full__007_000055.000,Fake,Seed-VC,0.8944315314292908,-28.805100088997087,21.39020100479825,1487.1123068526758,2569.7384185303513,0.13117293580271566
maramures_itw_5LliDRFbBOk_full__008_000090.800,Real,Real,1.0,-27.225370082002858,18.164250152525433,1679.5276495439266,3171.5539383561645,0.1413607662671233
maramures_itw_5LliDRFbBOk_full__008_000090.800,Fake,CosyVoice,0.9009708166122437,-16.712162862428315,14.662283112740697,980.4074126170635,1693.6001712328766,0.07699905465182648
maramures_itw_5LliDRFbBOk_full__009_000140.200,Real,Real,1.0,-28.816510027804043,19.688929615311675,1704.5235301526686,3431.085263578275,0.13246461910942492
maramures_itw_5LliDRFbBOk_full__009_000140.200,Fake,OpenVoice,0.8481661677360535,-28.82158493407507,16.97917913078645,1820.4445957441126,3958.2667731629394,0.10737351487619809
maramures_itw_5LliDRFbBOk_full__010_000130.000,Real,Real,1.0,-28.37390583876647,17.891201132141177,1645.661798761575,3131.5053501945526,0.13374726410505836
maramures_itw_5LliDRFbBOk_full__010_000130.000,Fake,Seed-VC,0.9331803321838379,-23.19432853396772,22.243014830800533,1312.8543378258553,2538.849708171206,0.09507614907587549
maramures_itw_5LliDRFbBOk_full__011_000039.600,Real,Real,1.0,-26.45153418324505,19.017815796736624,1693.1617350937995,3264.5861037234044,0.13459160987367022
maramures_itw_5LliDRFbBOk_full__011_000039.600,Fake,CosyVoice,0.8847970962524414,-24.639893609777573,16.491459043754674,1320.324119404661,2270.5701462765956,0.09746665142952128
maramures_itw_JazkwF_o6qE_full__000_000098.000,Real,Real,1.0,-24.047767988002416,20.429854714926805,1522.050392307109,2694.4416799363057,0.1298159459593949
